fonte,coletado_em,posto_id,nome,uf_fonte,cidade_fonte,bairro,endereco,cep,telefones,email,site,contato,horario,segmento
proshows,2026-09-06,proshows-2c5c0913cd,S.POWERTECH,PE,Recife,Santo Amaro,"Avenida Visconde De Suassuna, 775 - AP 102",50050-540,81987388758,spowertech697@gmail.com,,Thiago,,Áudio/DJ/Iluminação/Painel De Led
proshows,2026-09-06,proshows-b0b80ed3d8,SOUND MASTER,PE,Recife,Santo Antônio,"RUA MARQUÊS DO HERVAL, 215",50020-030,8132246843,ingrid.mike@hotmail.com,,Ingrid,,Áudio/Iluminação
proshows,2026-09-06,proshows-15da98727b,SOUNDFIX,PI,Teresina,Saci,"Rua General Joao Henrique Gaioso, 11 - QD 41",64020-200,86998516880|86994751160,soundfix17@gmail.com,,Manassés,,Áudio/Iluminação
proshows,2026-09-06,proshows-b305ddfed2,AED GUITAR EFFECTS,PR,Curitiba,Bom Retiro,"Rua Cláudio Manoel da Costa, 326",80520-590,41999854856,aedguitareffects@gmail.com,,Alexandre,,Valvulados
proshows,2026-09-06,proshows-320b5ecad5,CLAVE DE SOM,PR,Curitiba,Portão,"Rua Itajubá, 465",81070-190,41988885391|4133338620,contato@claveassistencia.com.br,,Agda,,Áudio
proshows,2026-09-06,proshows-8523376bc7,MS ASSISTÊNCIA,PR,Curitiba,Capão Raso,"Rua São Judas Tadeu, 252",81020-640,4132062129,ms.assistencia@yahoo.com,,Nicolas Alessandro,,Áudio/Iluminação
proshows,2026-09-06,proshows-f66c4088e4,SOM PRO ELETRÔNICA,PR,Curitiba,Centro,"Rua Lamenha Lins, 1130",80250-020,4133450221|41999125946,amusicaviva@hotmail.com,,Isaac,,Áudio/Iluminação
proshows,2026-09-06,proshows-5e5f237762,TECSCAN,PR,Curitiba,Novo Mundo,"Rua Laudelino Ferreira Lopes, 503 - Sala 03",81050-310,4132480569,tecscancuritiba@hotmail.com,,André,,Áudio/Iluminação
proshows,2026-09-06,proshows-8ccde7c338,JPJ ELETRONIC,PR,Guarapuava,Santa Cruz,"Rua Capitão Frederico Virmond, 3257",85015-260,42999114738,ge-ovane@live.com,,Geovane,,Áudio/Iluminação
proshows,2026-09-06,proshows-2ebb0ab412,ELETRÔNICA TECNOSHOP,PR,Londrina,Centro,"Rua Guaporé, 167",86026-010,4333245233|4330275233,tecnoshoplondrina@gmail.com,,Monica,,Áudio/Iluminação
proshows,2026-09-06,proshows-f4528e975e,OFICINA DO SOM,PR,Londrina,Centro,Rua Santa Catarina 271,86010-470,4333230694,oficinadosomlondrina@gmail.com,,Bruna,,Áudio/Iluminação
proshows,2026-09-06,proshows-6a34fdaba4,ROBERTO OGAMA,PR,Londrina,Lindóia,"Rua Faxinal, 187",86031-100,4330371182|4333255528,rkogama@hotmail.com,,Roberto,,Áudio/Iluminação
proshows,2026-09-06,proshows-d0a2a47332,VM TECH ELETRÔNICA LTDA.,PR,Maringá,Vila Marumby,"RUA BOTAFOGO, 918 - FUNDOS",87005-190,44984030551,gansoguitar@hotmail.com,,Eduardo,,Áudio
proshows,2026-09-06,proshows-a1590434c7,KIKO ZUBEK,PR,Ponta Grossa,Nova Russia,"RUA RIO DE JANEIRO, 752",84070-060,42999459862,kikozubek@hotmail.com,,,,Áudio/Lutheria
proshows,2026-09-06,proshows-1a5aa65990,MUSITEC ELETRÔNICA,RJ,Belford Roxo,Andrade de Araújo,"Travessa Sá Rego, 453",26140-550,2126672659|21985592625,musitec.assistencia@yahoo.com.br,,Jéssica,,
proshows,2026-09-06,proshows-1b059208e9,MIDITECH,RJ,Campos dos Goytacazes,Parque João Maria,"Rua Doutor João Maria, 91",28027-310,,miditech.garantia@gmail.com,,Mário Roberto,,Áudio/Iluminação/Valvulados
proshows,2026-09-06,proshows-d7a03ffdde,SWITCH MUSICAL,RJ,Duque de Caxias,Centro,"MARIANO SENDRA DOS SANTOS, 88",25010-080,2127838961,switchcaxias@yahoo.com.br,,Marcos Wendhausen,,Áudio/Valvulados
proshows,2026-09-06,proshows-32ca4c85de,TIME MUSIC,RJ,Itaboraí,Centro,"Avenida Raimundo de Farias, 166",24800-037,2120424270|21975021080,tonihiro@hotmail.com,,Toni,,Áudio/Iluminação
proshows,2026-09-06,proshows-f9a9d37e76,NITSOUND,RJ,Niterói,Santa Rosa,"Avenida Sete De Setembro, 340",24230-253,2127118414|21964131817,vinicius.gomes@nitsound.com.br,,Vinicius,,Áudio/Valvulados
proshows,2026-09-06,proshows-c15a729fda,MEGA SOM,RJ,Nova Friburgo,Centro,"Rua Mac-Niven, 04. Loja B",28613-220,2225228547|22992571016,megasomfri@gmail.com,,Gilson Pereira,,Áudio
proshows,2026-09-06,proshows-84baba79e9,ASSISTEC / NASASOM,RJ,Petrópolis,Centro,"PRAÇA DR. SÁ EARP, 40 - LOJA 03",25620-180,2422438562,paulonasaeletronica@yahoo.com.br,,Paulo César,,Áudio/Iluminação/Valvulados
proshows,2026-09-06,proshows-76aa9a5558,GENOS SOM,RJ,Rio de Janeiro,Ramos,"Rua Aureliano Lessa, 03",21031-825,2125615306,contato@genossom.com,,César,,Áudio/Valvulados/Iluminação
proshows,2026-09-06,proshows-97eb75ef6d,MECA FIX,RJ,Rio de Janeiro,Barra da Tijuca,"Avenida das Américas, 6700 - Bloco 1, Sala 211",22793-080,21988493576,fabio@mecafix.com.br,,Fabio,,Áudio
proshows,2026-09-06,proshows-5f60e624c0,ELETRÔNICA AMANDER SOM E IMAGEM,RJ,São Pedro da Aldeia,São João,"Rua Silvino Pacifico, 98",28942-886,2288196395,andersomeimagem@outlook.com,,Anderson,,Áudio
proshows,2026-09-06,proshows-607f286fb4,DOUTOR REPARO,RJ,Volta Redonda,Ponte Alta,"Rua Vereador Aldílio de Carvalho França, 230",27267-370,24974010878,dtr.reparo@gmail.com,,Victor,,Áudio/Iluminação/Valvulados
proshows,2026-09-06,proshows-907f760713,CONSERTEL,RN,Mossoró,Centro,"RUA JOSÉ DE ALENCAR, 151B - SALA 01",59600-190,8488314123|8433174344,pneu.service@hotmail.com,,Lucas,,Áudio
proshows,2026-09-06,proshows-651564df65,COELHO SERVICOS,RN,Natal,Alecrim,"RUA PRESIDENTE JOSE BENTO, 577",59037-060,84987516194,coelhoservaudio@gmail.com,,Anderson,,Áudio/Iluminação
proshows,2026-09-06,proshows-efe5091056,NEWS ÁUDIO E VÍDEO,RS,Bento Gonçalves,São Vedelino II,"Santos Dumont, 435",95707-354,54991091481,celularnews@uol.com.br,,Nerio,,Áudio/Valvulados
proshows,2026-09-06,proshows-dbe07c4788,DA ROCHA TECNOLOGIA,RS,Canoas,São José,"Rua Uruguai, 168",92420-340,5134751633,drtecnologia@drtecnologia.com.br,,Geison,,Áudio/Iluminação/Valvulados/Painel De Led
proshows,2026-09-06,proshows-3fd8ac9503,G.S.O EFFECTS LINE,RS,Canoas,Niterói,"Avenida Venâncio Aires, 1714",92110-000,5134755066,gsoeffectsline@outlook.com,,Beto,,Áudio/Iluminação/Valvulados
proshows,2026-09-06,proshows-834732faa0,OFICINA DO FRANCO LUTHIERIA,RS,Canoas,Igara III,"R. Das Andorinhas, 234",92412-222,51984366516,francomello14@gmail.com,,Franco,,Lutheria
proshows,2026-09-06,proshows-41db59090a,ELETRÔNICA LEAL,RS,Caxias do Sul,Centro,"Rua Visconde De Pelotas, 1176",95020-183,5432238422,assistec.leal@gmail.com,,Carlos,,Áudio/Valvulados
proshows,2026-09-06,proshows-b4d7ae0c12,CEGRA ELETRÔNICA,RS,Gravataí,Centro,"Avenida Dorival Cândido Luz De Oliveira, 489",94030-001,5130422830,eletronica.cegra@gmail.com,,Odair,,Áudio
proshows,2026-09-06,proshows-8eea579d44,MUSITEC,RS,Novo Hamburgo,Operário,"Rua Afonso Celso, 290",93315-200,5135271490|51991368164,eletronica_musitec@hotmail.com,,Paulo,,Áudio
proshows,2026-09-06,proshows-569d83c5e0,ELÉTRON ASSISTÊNCIA TÉCNICA,RS,Passo Fundo,Centro,"Rua Morom, 724",99010-030,54991557971,eletronrs@terra.com.br,,Carina,,Áudio/Iluminação
proshows,2026-09-06,proshows-8d0f286d53,NEW CONNECT,RS,Passo Fundo,Lucas Araujo,"AV. ASPIRANTE JENNER, 1375",99074-360,5430456982,nei@newconnect.inf.br,,Nei Mello,,Áudio/DJ/Iluminação
proshows,2026-09-06,proshows-1f5e224bba,DIGISOM,RS,Porto Alegre,Santa Maria Goretti,"Rua São Nicolau, 1093",91030-230,5133438142|51991419023,digisompoa@gmail.com,,Nádia,,Áudio/Valvulados
proshows,2026-09-06,proshows-71552f0a1a,DUOTEC,RS,Porto Alegre,Centro,"Rua Voluntários da Pátria, 595 - Loja 08",90030-000,51991590546,duotec01@gmail.com,,Pedro,,Valvulados
proshows,2026-09-06,proshows-e0f9cd874e,LINA SOM,RS,Porto Alegre,Navegantes,"Avenida Pernambuco, 2451",90240-005,5133881127,lina@linasom.com.br,,Roberto,,Áudio/Iluminação
proshows,2026-09-06,proshows-de58a5189b,PRIME PONTO ELETRÔNICO,RS,Santa Cruz do Sul,Centro,"Rua Venâncio Aires, 1070",96810-124,5199719657,primepontoeletronico@gmail.com,,Gerson,,Áudio/Iluminação
proshows,2026-09-06,proshows-ef78f4b721,J-TECH ELETRÔNICA,RS,Santa Rosa,Esplanada,"Rua Estrela Guia, 648",98787-264,55996222004,jean.dall@hotmail.com,,Jean Marcelo,,Áudio/Iluminação/Valvulados/Painel De Led/Luthieria
proshows,2026-09-06,proshows-ac88cd742a,JL ÁUDIO MANUTENÇÃO ELETRÔNICA,SC,Joinville,Bucarein,"Rua Dr Plácido Olímpio De Oliveira, 750 – Sala 1",89202-450,4734231287|47991968061,contato@jlaudioeletronica.com.br,,Jean Carlos,,Áudio/Iluminação/Valvulados
proshows,2026-09-06,proshows-d54edb9bb0,DECIBÉIS ELETRÔNICA,SC,Lages,São Miguel,"Rua João Francisco Veloso, 120",88525-040,49988764826,decibeiseletronica@yahoo.com.br,,Everson,,Áudio/Iluminação/Valvulados
proshows,2026-09-06,proshows-41dcaef73e,ELETRONICA BUSSOLO,SC,Orleans,Barro Preto,"RUA DORVALINO CECHINEL, 93",88870-000,48996669428,,,Matheus,,Áudio
proshows,2026-09-06,proshows-45d2a3de0a,ELETRÔNICA SCR,SC,São José,Areias,"Rua Progresso, 790-Sala 1 Ed. Evanir Jorgina Pere",88113-210,4830472664,eletronicascr@gmail.com,,Clóvis,,Áudio/Iluminação
proshows,2026-09-06,proshows-29d1e27f1f,J. ELETROMUSIC,SE,Aracajú,Grageru,"Rua Lourival Chagas, 465",49025-390,79999928181,j.eletromusic@gmail.com,,João Júnior,,Áudio/Iluminação/Luthier
proshows,2026-09-06,proshows-a85e0a7703,DANTAS SOM ASSISTÊNCIA TÉCNICA,SE,Itabaiana,Centro,"Rua Antônio Dultra, 1118",49500-151,7934316011|79998828456,dantas.assistencia@hotmail.com,,Mislaine,,Áudio/Iluminação/Painel De Led
proshows,2026-09-06,proshows-c2605b9bc3,ELETRÔNICA IPIRANGA,SP,Americana,Centro,"Rua Carioba, 223",13478-112,1934072547|19997084050,eletronicaipiranga@eletronicaipiranga.com.br,,Vanilce,,Áudio
proshows,2026-09-06,proshows-e0c367b201,ELETRÔNICA MORELLI,SP,Americana,Vila Jones,"Avenida Campos Salles, 382",13465-590,1936456190,eletronicamorelli@hotmail.com,,Gilmara,,Áudio/Iluminação
proshows,2026-09-06,proshows-8d1b0dcb2b,VISIONTECH ELETRÔNICA,SP,Birigui,Quemil,"Ermando Zin, 541",16202-237,1831900295,visiontech_eletronica@outlook.com,,Flávio,,Áudio/Iluminação
proshows,2026-09-06,proshows-30bac1fed8,ANÁLISE A,SP,Campinas,Jardim Dom Vieira,"Rua Dra. Silvia Ferreira de Barros, 53",13036-260,1940421082,contato@analisea.com.br,,Raissa,,Áudio/Iluminação
proshows,2026-09-06,proshows-114134e7dd,STA SOM,SP,Campinas,Jardim Conceição,"Avenida Carlos Grimaldi, 228",13091-000,1921216481|1932070430,sta.som@uol.com.br,,Santos,,Áudio/Valvulados
proshows,2026-09-06,proshows-86c6dc2699,ILUMITRONIC,SP,Carapicuíba,Vila Santa Terezinha,"Avenida Rui Barbosa, 1816",06311-001,1141841762|11998685837,ilumitronic@gmail.com,,Sergio,,Iluminação/Painel De Led
proshows,2026-09-06,proshows-c3f0bf06fb,PLUG AUDIO,SP,Franca,Centro,"RUA MARECHAL CAXIAS, 2705",14400-600,16992024605,plug_audio@hotmail.com,,Adriano,,Áudio/DJ/Iluminação/Painel de Led
proshows,2026-09-06,proshows-36d57e5b64,AUDIOTRON ASSISTÊNCIA,SP,Guarulhos,Jardim Pinhal,"Rua Ari Barroso, 198",07120-040,1127622020|11920020894,audiotron2015@gmail.com,,Joarez,,Áudio/Iluminação/DJ/Painel De Led
proshows,2026-09-06,proshows-e7e800b071,LEO ZANOTELLO,SP,Indaiatuba,Jardim Dom Bosco,"Rua Quinze de Novembro, 1777",13333-330,1938853549|19999299889,leozanotello@uol.com.br,,Elio,,Áudio/Iluminação/Valvulados
proshows,2026-09-06,proshows-65d7f32c73,FELTRONIC,SP,Jaú,Jardim Ferreira Dias,"Rua Dr. Ítalo Peccioli, 203",17209-690,1436227347|14997507347,feltronic@feltronic.com.br,,Feltrin,,Áudio/Valvulados
proshows,2026-09-06,proshows-bfa44cccd0,ELETRÔNICA SAI,SP,Jundiaí,Jardim Petrópolis,"Rua Bom Jesus de Pirapora, 1640",13207-605,1145875176|11950760063,eletronica@eletronicasai.com.br,,Roberval,,Áudio
proshows,2026-09-06,proshows-0442b2887d,ÚNICA ASSISTENCIA,SP,Lençóis Paulista,Jardim Ubirama,"RUA FERNAO DIAS PAES LEME, 449",18683-490,1432646439,unicaassistencia@hotmail.com,,Ronaldo,,Áudio/Iluminação
proshows,2026-09-06,proshows-10afd43cf0,ELETRÔNICA CNR,SP,Limeira,Vila Glória,"Rua Augusta, 261",13484-014,1934416084|19984160166,eletronicacnr@hotmail.com,,Carlos,,Áudio
proshows,2026-09-06,proshows-8dae45c70d,LABSOUND,SP,Lorena,São Roque,"Rua Capitão Leovigildo Areco, 644",12601-150,1231571524,atendimento@labsound.com.br,,Maria Inês,,Áudio/Iluminação
proshows,2026-09-06,proshows-39f5315add,MUSIC TEC,SP,Mogi das Cruzes,Centro,"Rua Barão de Jaceguai, 509 - Sala 82 - Ed. Atrium",08710-165,1147913867,musictecmogi@uol.com.br,,Odilon,,Áudio/Iluminação/Valvulados
proshows,2026-09-06,proshows-75ea2ae717,HARMONY SOUND,SP,Piracicaba,Jardim Alvorada,"RUA Janete Clair, 21",13425-690,1933716918|19996014588,harmonysoundme@gmail.com,,Jorge,,Áudio/Iluminação
proshows,2026-09-06,proshows-f4d1df10d1,AUDIOART,SP,Pirassununga,Centro,"Rua Siqueira Campos, 2351",13631-010,1935613403|19999378444,contato@audioartbr.com,,Maurício,,Áudio/Luthier
proshows,2026-09-06,proshows-d2831d1662,M&A TECNOLOGIA,SP,Ribeirão Preto,Campos Eliseos,"Rua Tamandaré, 1348",14085-070,1639791760|16981144950,meatecnologiaemusica@gmail.com,,Edmilson,,Áudio
proshows,2026-09-06,proshows-f6f65e9530,MUNDIAUDIO,SP,Ribeirão Preto,Campos Eliseos,"Rua Princesa Izabel, 616",14085-120,1639792939|1639792636|1639795354,gerson@newbox.com.br,,Gerson,,Áudio/Iluminação/Painel de Led
proshows,2026-09-06,proshows-2cd34112bd,FLY ÁUDIO SOLUTIONS,SP,São Bernardo do Campo,Rudge Ramos,"Rua Eula Herper Bowden, 74",09633-000,1139070900,comercial@flyas.com.br,,Raquel,,Áudio
proshows,2026-09-06,proshows-96686c0609,LITTLE WILL CURSOS E MANUTENÇÃO DE GAITAS,SP,São Caetano do Sul,Boa Vista,"Santo André, 379 - Ap 96",09572-000,11974314446,aulasdegaitablues@gmail.com,,Wellington,,Luthieria de Harmônicas
proshows,2026-09-06,proshows-610a0d3fef,A&R ASSISTÊNCIA TECN,SP,São Paulo,Vila Romana,"Rua Cerro Corá, 777",05061-150,1123626231|11974808962,contato@aerassistencia.com,,Rosiane,,Áudio
proshows,2026-09-06,proshows-295afdcf23,ABEID CUSTOM,SP,São Paulo,Vila Moinho Velho,"Rua do Reno, 159",04284-070,1120649498,omar@abeidcustom.com,,Omar,,Valvulados
proshows,2026-09-06,proshows-66239b855c,BETO SANFONEIRO,SP,São Paulo,Chácara Nani,"ESTRADA DO JARARAÚ, 1175",04943-120,,betosanfoneiro@hotmail.com,,Beto,,Luthier
proshows,2026-09-06,proshows-2e9a2e8cec,BRASIVOX,SP,São Paulo,Santa Ifigênia,"Rua Vitória, 140",01210-000,1133621944|1133621183,contato@brasivox.com.br,,Osmar,,Áudio/Valvulados/Painel De Led
proshows,2026-09-06,proshows-dbff5d37fb,EDMAR LUIGHI LUTHIERS,SP,São Paulo,Vila Moinho Ipiranga,"Rua Do Reno, 143",04284-070,1120635935|11982291277,atendimento@edmarluighi.com.br,,Edmar,,Lutheria
proshows,2026-09-06,proshows-78fdba1d8a,FPS – FIX PRO SERVICE,SP,São Paulo,Vila Leopoldina,"Rua Columbus, 171",05304-010,1149992380,fixproservice@fixproservice.com.br,,Thiago,,Áudio/Valvulados
proshows,2026-09-06,proshows-cba5fcead2,GAMBARU MANUTENÇÃO E COMÉRCIO DE EQUIPAMENTOS ELET,SP,São Paulo,Tucuruvi,"AVENIDA GUAPIRA, 2128/2140",02265-002,1122412427|11933142942,manuel.costa@gambaru.com.br,,Manuel,,Áudio
proshows,2026-09-06,proshows-e45f1a3766,GUERRA GUITARS,SP,São Paulo,Santana,"Rua Dr. Olavo Edigio, 56",02037-005,1129778785|11983570454,nivaldo.vgtek@gmail.com,,Nivaldo,,Áudio/Valvulados/Lutheria
proshows,2026-09-06,proshows-c237bca0d8,LIVE SOUND,SP,São Paulo,Santa Ifigênia,"Rua dos Gusmões, 353 - CJ 43",01212-001,1133374362|1133374222,osvaldo@livesound.com.br,,Osvaldo,,Áudio
proshows,2026-09-06,proshows-9e1d002879,MATUSA SERVICE CENTER,SP,São Paulo,Pinheiros,"RUA TEODORO SAMPAIO, 763",05405-050,1136664593,amplificadoresmatusa@hotmail.com,,Remo Bruno,,Áudio/Valvulados
proshows,2026-09-06,proshows-2beb002424,MUSIC BRAZ,SP,São Paulo,Perdizes,"Rua Salto Grande, 297",01257-020,11999021218|1138684688,musicbraz@hotmail.com,,Ricardo,,Áudio/Valvulados
proshows,2026-09-06,proshows-99e3100100,OMNI ÁUDIO,SP,São Paulo,Água Rasa,"Pereira Jácome, 11",03181-080,1128761658|11981068581,menani@omniaudio.com.br,,Antônio,,Áudio/Valvulados
proshows,2026-09-06,proshows-d57c7bc219,TATA MANUTENÇÃO,SP,São Paulo,Pinheiros,"RUA TEODORO SAMPAIO, 852",05406-000,1130640085,lucianolimasopro@yahoo.com.br,,Luciano,,Instrumentos de Sopro
proshows,2026-09-06,proshows-24309b1be9,TECTRONICA,SP,São Paulo,Jardim São Paulo (Zona Norte),"Rua Carlos Camargo Aranha, 12",02039-090,1129711641|11956061360,atendimento@tectronica.com.br,,Jose Carlos,,Áudio/Lutheria
proshows,2026-09-06,proshows-dca78bcc1e,UTOPIK ÁUDIO,SP,São Paulo,Sumaré,"AVENIDA DOUTOR ARNALDO, 2333",01255-000,11971841313,utopik.audio@gmail.com,,Guilherme,,Áudio
proshows,2026-09-06,proshows-24806bb1d7,HITEC ÁUDIO SERVICE,SP,Taubaté,Centro,"Avenida Juscelino Kubitschek de Oliveira, 238",12010-600,12991959820|1236321127,hitecaudio@hitecaudio.com.br,,Ricardo,,Áudio
proshows,2026-09-06,proshows-04314d8e00,POWERTEC,TO,Colmeia,Centro,"Avenida Guaraí, 1265",77725-000,6334571968|63985126211,claudenytec@hotmail.com,,Claudeny,,Áudio/Iluminação
proshows,2026-09-06,proshows-5cdc389c1f,ELETRÔNICA CONCORD,TO,Palmas,Plano diretor norte,"Rua NE 05, 20 - QD 104 Norte",77006-020,6399885522|6332151337,e.concord@yahoo.com.br,,Fagno,,Áudio/Iluminação
roland,2026-09-06,roland-c76592ae50,HI FI ELETRÔNICA,AL,Maceió,,"Rua Quedes Gondim, 278 - Centro",57020-260,8233265102,hifieletronic@uol.com.br,,,,
roland,2026-09-06,roland-61a3ee5f26,SÍNTESE ELETRÔNICA,AL,Maceió,,"Av. Júlio Marques Luz, 1315 A - Jatiúca",57035-700,8232352246,sinteseeletronica@hotmail.com,,,,
roland,2026-09-06,roland-d456e4ff3f,ATSE,AM,Manaus,,"Av. Constantino Nery, 289 - Centro",69010-160,9232326188,atse_assistencia@hotmail.com,,,,
roland,2026-09-06,roland-3ff7db36d7,DF ELETRÔNICA,BA,Alagoinha,,"Rua Santos Antonio, 04 - Teresópolis",48080-130,7534219957,dilson.passos@ig.com.br,,,,
roland,2026-09-06,roland-5bd27d37e5,PANATEC,BA,Feira de Santana,,"Rua Cristóvão Barreto, 351 - Serraria Brasil",44003-127,7532237885,panatec2010@ig.com.br,,,,
roland,2026-09-06,roland-b5ad924f3d,SINAL ELETRÔNICA,BA,Itabuna,,"Av. Princesa Isabel, 935 - São Caetano",45607-000,7336135835,sinal_sinal@hotmail.com,,,,
roland,2026-09-06,roland-663010e690,DIGITAL ELETRÔNICA,BA,Salvador,,"Rua Jaracatiá, 1048, Lj H e R, Centro Comercial Caminho das Árvores - Caminho das Árvores",41820-665,7134511234,digitaleletronic@uol.com.br,,,,
roland,2026-09-06,roland-eb7d094810,PLAYMUSIC ASSISTÊNCIA TÉCNICA,BA,Salvador,,"Av. Vale do Tororó 98, sala 108 - Tororó",40050-290,7132415999,playmusic-ba@hotmail.com,,,,
roland,2026-09-06,roland-d375697e53,ELETRÔNICA ITASOM,CE,Fortaleza,,"Av. Padre Ibiapina, 1365",60010-690,8532231856,itasomtecnica@hotmail.com,,,,
roland,2026-09-06,roland-d914e27121,LUTHITEC,CE,Fortaleza,,"Rua Nogueira Acioli, 1400 – Centro",60110-140,8530161123,luthitec@gmail.com,,,,
roland,2026-09-06,roland-8e5f086d3f,MUSITRON ELETRÔNICA LTDA,DF,Brasília,,ADE - Conjunto 09 - Lote 21 - Águas Claras,71986-360,6134045520,atendimento@musitron.com.br,,,,
roland,2026-09-06,roland-df54cacf21,SHARCOLOR ELETRÔNICA LTDA,ES,Vitória,,"Av. Marechal Mascarenhas de Morais, 2573 - Bento Ferreira Fax:",29050-667,2732274575|2733243931,sharcolor@uol.com.br,,,,
roland,2026-09-06,roland-67c25d8b09,H.E SERVIÇOS ELETRÔNICOS,GO,Goiânia,,"Rua Corumbá, 140 - Campinas » site",74523-410,6232911138,sac@heservice.com.br,,,,
roland,2026-09-06,roland-9e9277b62c,RONALD SERVICE ELETRÔNICA,MA,Imperatriz,,"Rua Leôncio Pires Dourado, 1913 - Bacuri",65901-020,9935266362,ronaldgeria@ig.com.br,,,,
roland,2026-09-06,roland-903d093193,SILVATEC ASSISTÊNCIA TÉCNICA,MA,São Luís,,"Rua do Alecrim, 352 - Centro",65010-040,9832325685,silvateck@oi.com.br,,,,
roland,2026-09-06,roland-7b5c7b8a84,JV ELETRÔNICA,MG,Belo Horizonte,,"Rua Padre Eustaquio, 1620 - Carlos Prates / 2555 -0928",30710-580,3132010528,eletronicajv.bh@hotmail.com,,,,
roland,2026-09-06,roland-8a97df840a,TELEVISOM,MG,Juiz de Fora,,"Rua, Antônio dias Tostes número,518 Bairro Granbery, Juiz de Fora – Minas Gerais",36010-370,3232136742,,,,,
roland,2026-09-06,roland-3d5d8fc222,AUDIOTECH,MG,Montes Claros,,"Rua Jaguaribe, 272 – Alto São João – Montes Claros – Minas Gerais",39400-313,3832142192,,,,,
roland,2026-09-06,roland-d068cd59d7,MARCOS ASSISTÊNCIA TÉCNICA,MG,Uberlândia,,"Rua Cruzeiro Dos Peixotos, 190 - Aparecida",38400-107,3432350798,mattecnica@hotmail.com,,,,
roland,2026-09-06,roland-8cbd573459,VIP ELETRÔNICA,MS,Campo Grande,,"Rua Antônio Maria Coelho, 1966 - Centro",79002-220,6730252244,vip_eletronica@hotmail.com,,,,
roland,2026-09-06,roland-a27884b9a3,SIGMA ELETRÔNICA,MT,Cuiabá,,"Rua das Orquídeas, 600 - Bosque da Saúde",78050-080,6530232262,sigmacba@terra.com.br,,,,
roland,2026-09-06,roland-ff0b3abc5e,RC ÁUDIO & ELETRÔNICA,PA,Barcarena,,"RUA EFESIOS, BOA VISTA SN VILA DOS CABANOS",68447-000,91993323958,rcaudioeeletronica@outlook.com,,,,
roland,2026-09-06,roland-b00f0c871d,CORUJÃO ELETRÔNICA,PB,João Pessoa,,"Av. Expedicionários, 100 - sala 105 - Expedicionários » site",58041-010,,marconi@corujao.net,,,,
roland,2026-09-06,roland-651504c8d9,CPTEC,PE,Recife,,"Rua João Fernandes Vieira, 574 SL 403 - Boa Vista",50050-200,8134222038,cpetec@cpeteconline.com.br,,,,
roland,2026-09-06,roland-9e7ff64834,VÍDEO TÉCNICA ELETRÔNICA LTDA,PE,Recife,,"Rua Quarenta e Oito, Nº 525 Espinheiro - Recife - PE",52020-060,8132417126,rubem_santos@hotmail.com,,,,
roland,2026-09-06,roland-2fb8a5100c,ACCORD MUSIC,PI,Teresina,,"Rua Primeiro de Maio, 875, Marquês de Paranaguá, Teresina, Piauí",64002-510,86999989419,,,,,
roland,2026-09-06,roland-196abc79aa,AUDIO LASER,PR,Curitiba,,"Rua Blaise Pascal, Nº 124 - Abranches - Curitiba/PR",82220-230,4130273200,email@laserassistencia.com.br,https://www.laserassistencia.com.br,,,
roland,2026-09-06,roland-b5aa08ce8a,ELETRÔNICA HIGHTEC,PR,Londrina,,"Av. Maringá, 2053 - Jardim Quebec",86062-650,4333281805,hightec@sercomtel.com.br,,,,
roland,2026-09-06,roland-3203536b5a,POWER TECH ELETRÔNICA,PR,Maringá,,"Av: Herval, 698, Fundos - Centro",87013-110,4432224618|4430255977,azauri@hotmail.com,,,,
roland,2026-09-06,roland-f0b5565cc0,MIDITECH MAN. EM ÁUDIO PROFESSIONAL E INSTRUMENTOS MUSICAIS,RJ,Campo dos Goytacazes,,"Rua José Evaldo Carneiro da Sivla, 13 – Loja 07 – Centro",28010-520,2230150241,miditech@censanet.com.br,,,,
roland,2026-09-06,roland-b5bdc99d05,SWITCH MUSICAL ÁUDIO,RJ,Duque de Caxias,,"Rua Wallace Soares ( Antiga Almirante Barroso), Nº 80, Sala 601 - Shopping do Músico, Centro- Duque de Caxias",25010-010,2127838961,switchcaxias@yahoo.com.br,,,,
roland,2026-09-06,roland-85732909f7,BIG SYSTEM,RJ,Jacarepaguá,,"Estrada do Gabinal, 979, Freguesia (Jacarepaguá), Rio de Janeiro - RJ",22760-151,2132810413|21992117909,contato@bigsystem.com.br,,,,
roland,2026-09-06,roland-0052d37ff9,NITSOUND,RJ,Niterói,,"Avenida Sete de Setembro, 340 – Icarai, Niterói/RJ",24230-253,2127055555,,,,,
roland,2026-09-06,roland-9acb5062c1,MEGA SOM,RJ,Nova Friburgo,,"Rua Mac Niven, 04 LJ B - Centro",28613-220,2225228547,msfel@ig.com.br,,,,
roland,2026-09-06,roland-659b464975,TECNOSEG,RJ,Rio de Janeiro,,"R. Costa Filho, Nº 60 - Marechal Hermes",21610-500,2125899317,tomazcoy@hotmail.com,,,,
roland,2026-09-06,roland-56964ed5f1,VÍDEO LIFE,RJ,Rio de Janeiro,,"Estrada Da Gavea, 847 - São Conrado",22610-001,2133222695,videolife2000@hotmail.com,https://www.videolife-rj.com.br,,,
roland,2026-09-06,roland-f02dbce698,ASSISTTEC,RN,Candelaria,,"Endereço: Avenida Prudente de Morais, 6375, Candelaria - RN",59065-500,8432060872,assisttecnatal@gmail.com,,,,
